"Date","Main Pollutant","Overall AQI Value","CO","SO2","NO2","Ozone","PM10","PM25"
"01/01/2013","PM2.5","76","5","3","36","26","32","76"
"01/02/2013","PM2.5","81","8","4","42","23","40","81"
"01/03/2013","PM2.5","142","9","4","56","21","53","142"
"01/04/2013","PM2.5","149","11","6","55","18","58","149"
"01/05/2013","PM2.5","139","11","6","56","19","58","139"
"01/06/2013","PM2.5","153","10","7","57","11","62","153"
"01/07/2013","PM2.5","142","16","7","50","11","57","142"
"01/08/2013","PM2.5","160","11","7","60","6","76","160"
"01/09/2013","PM2.5","130","15","9","54","31","59","130"
"01/10/2013","Ozone","33","11","29","22","33","11","18"
"01/11/2013","Ozone","29","3","4","26","29","8","15"
"01/12/2013","PM2.5","47","5","4","40","26","21","47"
"01/13/2013","PM2.5","62","6","4","42","30","15","62"
"01/14/2013","PM2.5","73","7","7","41","25","24","73"
"01/15/2013","PM2.5","72","5","9","42","23","36","72"
"01/16/2013","PM2.5","94","9","6","60","18","51","94"
"01/17/2013","PM2.5","130","13","10","58","19","57","130"
"01/18/2013","PM2.5","153","9","7","65","18","60","153"
"01/19/2013","PM2.5","152","14","6","66","20","62","152"
"01/20/2013","PM2.5","126","8","4","51","26","53","126"
"01/21/2013","PM2.5","123","13","9","51","19","55","123"
"01/22/2013","PM2.5","129","19","7","66","18","57","129"
"01/23/2013","PM2.5","144","13","6","53","11","59","144"
"01/24/2013","PM2.5","145","9","6","55","4","55","145"
"01/25/2013","PM2.5","153","11","4","62","3","58","153"
"01/26/2013","PM2.5","139","9","7","47","3","53","139"
"01/27/2013","PM2.5","47","7","4","34","30","12","47"
"01/28/2013","NO2","48","8","4","48","29","16","39"
"01/29/2013","NO2","42","6","6","42","26","12","38"
"01/30/2013","PM2.5","51","11","17","45","18","16","51"
"01/31/2013","PM2.5","56","17","7","51","17","25","56"
"02/01/2013","PM2.5","69","13","10","51","22","28","69"
"02/02/2013","PM2.5","91","14","7","42","23","38","91"
"02/03/2013","PM2.5","125","8","11","38","27","47","125"
"02/04/2013","PM2.5","136","7","10","56","24","54","136"
"02/05/2013","PM2.5","127","9","7","49","20","54","127"
"02/06/2013","PM2.5","125","8","13","51","19","51","125"
"02/07/2013","PM2.5","107","15","16","56","17","52","107"
"02/08/2013","PM2.5","91","9","10","49","28","48","91"
"02/09/2013","NO2","42","6","6","42","30","13","35"
"02/10/2013","Ozone","37","5","4","32","37","10","31"
"02/11/2013","PM2.5","56","6","6","43","36","23","56"
"02/12/2013","PM2.5","66","7","10","42","21","34","66"
"02/13/2013","PM2.5","87","8","21","53","27","44","87"
"02/14/2013","PM2.5","85","7","4","46","33","40","85"
"02/15/2013","PM2.5","70","7","10","47","30","35","70"
"02/16/2013","PM2.5","85","9","7","56","31","41","85"
"02/17/2013","PM2.5","83","10","6","57","29","33","83"
"02/18/2013","PM2.5","47","7","6","46","33","22","47"
"02/19/2013","NO2","49","8","7","49","33","31","44"
"02/20/2013","NO2","46","7","9","46","40","27","41"
"02/21/2013","Ozone","35","3","6","33","35","13","20"
"02/22/2013","NO2","39","6","10","39","32","14","30"
"02/23/2013","Ozone","36","6","9","29","36","11","11"
"02/24/2013","Ozone","41","5","6","38","41","12","31"
"02/25/2013","PM2.5","47","7","3","47","34","23","47"
"02/26/2013","NO2","44","5","4","44","41","14","25"
"02/27/2013","NO2","42","6","4","42","37","19","38"
"02/28/2013","PM2.5","62","8","11","53","26","37","62"
"03/01/2013","PM2.5","102","8","19","50","26","53","102"
"03/02/2013","PM2.5","95","11","7","45","32","43","95"
"03/03/2013","PM2.5","90","9","6","43","25","34","90"
"03/04/2013","Ozone","44","6","6","36","44","10","15"
"03/05/2013","NO2","49","7","10","49","33","31","47"
"03/06/2013","Ozone","43","8","11","42","43","24","22"
"03/07/2013","PM2.5","38","3","6","29","34","32","38"
"03/08/2013","PM2.5","49","5","7","35","34","31","49"
"03/09/2013","Ozone","43","3","30","36","43","9","19"
"03/10/2013","Ozone","42","7","6","36","42","10","22"
"03/11/2013","NO2","39","8","6","39","32","16","25"
"03/12/2013","Ozone","32","7","7","31","32","11","13"
"03/13/2013","Ozone","32","7","6","31","32","22","20"
"03/14/2013","NO2","39","8","7","39","30","30","30"
"03/15/2013","PM2.5","42","8","14","33","37","33","42"
"03/16/2013","Ozone","44","5","7","26","44","14","22"
"03/17/2013","Ozone","44","2","20","27","44","19","15"
"03/18/2013","Ozone","41","5","6","39","41","19","15"
"03/19/2013","Ozone","44","6","9","35","44","26","30"
"03/20/2013","Ozone","31","3","11","25","31","19","16"
"03/21/2013","Ozone","43","2","14","23","43","18","17"
"03/22/2013","Ozone","46","3","7","22","46","11","15"
"03/23/2013","Ozone","45","2","9","20","45","8","24"
"03/24/2013","Ozone","48","3","7","27","48","8","17"
"03/25/2013","Ozone","44","3","14","23","44","9","21"
"03/26/2013","NO2","41","8","7","41","35","29","26"
"03/27/2013","Ozone","44","9","9","38","44","27","28"
"03/28/2013","Ozone","44","7","6","37","44","32","30"
"03/29/2013","PM10","46","6","7","31","41","46","30"
"03/30/2013","Ozone","39","5","6","26","39","18","22"
"03/31/2013","Ozone","46","3","10","25","46","16","20"
"04/01/2013","Ozone","44","2","9","9","44","16","13"
"04/02/2013","Ozone","42","3","3","22","42","10","21"
"04/03/2013","Ozone","40","6","4","25","40","15","28"
"04/04/2013","Ozone","36","3","6","23","36","19","21"
"04/05/2013","Ozone","40","3","10","21","40","8","11"
"04/06/2013","Ozone","39","3","7","27","39","12","19"
"04/07/2013","Ozone","40","3","4","28","40","16","29"
"04/08/2013","Ozone","36","3","10","16","36","12","27"
"04/09/2013","Ozone","44","2","4","3","44","6","18"
"04/10/2013","Ozone","42","5","14","37","42","20","19"
"04/11/2013","Ozone","41","3","37","23","41","8","18"
"04/12/2013","Ozone","42","5","6","33","42","19","25"
"04/13/2013","Ozone","49","5","6","19","49","19","19"
"04/14/2013","Ozone","47","2","4","19","47","4","8"
"04/15/2013","Ozone","43","3","13","22","43","6","19"
"04/16/2013","Ozone","44","2","10","10","44","10","15"
"04/17/2013","Ozone","46","2","7","13","46","18","15"
"04/18/2013","Ozone","49","3","6","35","49","16","15"
"04/19/2013","Ozone","39","5","9","34","39","17","20"
