"Date","Main Pollutant","Overall AQI Value","CO","SO2","Ozone","PM10","NO2","PM25"
"01/01/2014","PM2.5","154","13","6","18",".",".","154"
"01/02/2014","PM2.5","128","15","3","12","51",".","128"
"01/03/2014","PM2.5","142","22","3","5",".",".","142"
"01/04/2014","PM2.5","62","9","0","23","23",".","62"
"01/05/2014","PM2.5","46","7","0","31","21",".","46"
"01/06/2014","PM2.5","61","14","1","18","38",".","61"
"01/07/2014","PM2.5","108","15","4","3","57",".","108"
"01/08/2014","PM2.5","127","16","1","4","47",".","127"
"01/09/2014","PM2.5","67","16","1","9","21",".","67"
"01/10/2014","PM2.5","43","15",".","9","17",".","43"
"01/11/2014","PM2.5","29","15",".","29","10",".","29"
"01/12/2014","Ozone","29","3",".","29","7",".","11"
"01/13/2014","PM2.5","23","10",".","14","19",".","23"
"01/14/2014","PM2.5","52","13",".","21","25",".","52"
"01/15/2014","PM2.5","77","16","3","15","42",".","77"
"01/16/2014","PM2.5","107","19","4","12","52",".","107"
"01/17/2014","PM2.5","114","17","3","13","52",".","114"
"01/18/2014","PM2.5","132","15","6","14","54",".","132"
"01/19/2014","PM2.5","138","16","7","15","53",".","138"
"01/20/2014","PM2.5","151","15","6","16","59",".","151"
"01/21/2014","PM2.5","134","19","3","10","59",".","134"
"01/22/2014","PM2.5","137","17","9","7","61","55","137"
"01/23/2014","PM2.5","119","9","3","19","54","42","119"
"01/24/2014","PM2.5","73","15","3","14","48","42","73"
"01/25/2014","PM2.5","97","14","3","17","48","40","97"
"01/26/2014","PM2.5","121","14","6","20","52","45","121"
"01/27/2014","PM2.5","140","17","7","14","59","50","140"
"01/28/2014","PM2.5","74","11","3","24","40","46","74"
"01/29/2014","PM2.5","55","10","1","19","36","42","55"
"01/30/2014","PM2.5","45","8","1","21","7","35","45"
"01/31/2014","PM2.5","40","8","1","23","12","30","40"
"02/01/2014","PM2.5","26","5","0","25","10","24","26"
"02/02/2014","Ozone","34","3","0","34","7","14","23"
"02/03/2014","NO2","35","8","1","28","17","35","26"
"02/04/2014","Ozone","31","6","1","31","9","31","27"
"02/05/2014","PM2.5","36","7","1","29","30","34","36"
"02/06/2014","PM2.5","78","7","3","12","42","37","78"
"02/07/2014","PM2.5","51","8","1","36","19","37","51"
"02/08/2014","Ozone","31","6","0","31","6","24","15"
"02/09/2014","Ozone","25","6","0","25","6","24","16"
"02/10/2014","Ozone","29","7","0","29","9","27","25"
"02/11/2014","NO2","29","7","0","24","16","29","20"
"02/12/2014","NO2","29","8","0","18","11","29","18"
"02/13/2014","NO2","25","8","0","20","6","25","19"
"02/14/2014","NO2","25","8","0","15","13","25","17"
